id,name,type,region,province,city,address,postal_code,phone,email,appointment_method,appointment_url,source_url,official_list_url,source_date,verified_at,verification_status,notes
comisaria-granada,Comisaría Policía Nacional — Granada,police_station,Andalucía,Granada,Granada,,,+34958808178;+34958808532,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-jaen,Comisaría Policía Nacional — Jaén,police_station,Andalucía,Jaén,Jaén,,,+34953295318;+34953295311,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-malaga,Comisaría Policía Nacional — Málaga,police_station,Andalucía,Málaga,Málaga,,,+34952046212,malaga.catextranjeria@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-huesca,Comisaría Policía Nacional — Huesca,police_station,Aragón,Huesca,Huesca,,,,huesca.ucrania@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-teruel,Comisaría Policía Nacional — Teruel,police_station,Aragón,Teruel,Teruel,,,,teruel.bped@polcia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately. Official XLSX itself has email domain 'polcia.es' (likely typo of policia.es). Do not show this email until confirmed.
comisaria-zaragoza,Comisaría Policía Nacional — Zaragoza,police_station,Aragón,Zaragoza,Zaragoza,,,,zaragoza.udeye@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-gijon,Comisaría Policía Nacional — Gijón,police_station,Asturias,Asturias,Gijón,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-oviedo,Comisaría Policía Nacional — Oviedo,police_station,Asturias,Asturias,Oviedo,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-ibiza,Comisaría Policía Nacional — Ibiza,police_station,Illes Balears,Illes Balears,Ibiza,,,+34971398831,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-mahon,Comisaría Policía Nacional — Mahón,police_station,Illes Balears,Illes Balears,Mahón,,,+34971363712,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-mallorca,Comisaría Policía Nacional — Mallorca,police_station,Illes Balears,Illes Balears,Mallorca,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately. Source lists locality as 'MALLORCA'; exact city (likely Palma) not stated. Confirm.
comisaria-arrecife,Comisaría Policía Nacional — Arrecife,police_station,Canarias,Las Palmas,Arrecife,,,+34928844000;+34928844299,arrecife.documentacion@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-las-palmas-de-gran-canaria,Comisaría Policía Nacional — Las Palmas de Gran Canaria,police_station,Canarias,Las Palmas,Las Palmas de Gran Canaria,,,+34928304660,laspalmas.protecciontemporal@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-puerto-del-rosario,Comisaría Policía Nacional — Puerto del Rosario,police_station,Canarias,Las Palmas,Puerto del Rosario,,,+34928855924,prosario.extdoc@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-santa-cruz-de-tenerife,Comisaría Policía Nacional — Santa Cruz de Tenerife,police_station,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,,,+34922235635,sctenerife.citaudex@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-cantabria,Comisaría Policía Nacional — Cantabria,police_station,Cantabria,Cantabria,Cantabria,,,+34942361120,santander.protecciontemporal@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately. Source lists locality as 'CANTABRIA'; email suggests Santander. Confirm city.
comisaria-albacete,Comisaría Policía Nacional — Albacete,police_station,Castilla-La Mancha,Albacete,Albacete,,,,albacete.asilo@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-ciudad-real,Comisaría Policía Nacional — Ciudad Real,police_station,Castilla-La Mancha,Ciudad Real,Ciudad Real,,,+34926277903;+34926277926,ciudadreal.extranjeria@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-cuenca,Comisaría Policía Nacional — Cuenca,police_station,Castilla-La Mancha,Cuenca,Cuenca,,,+34969240795,cuenca.bped@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-guadalajara,Comisaría Policía Nacional — Guadalajara,police_station,Castilla-La Mancha,Guadalajara,Guadalajara,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-toledo,Comisaría Policía Nacional — Toledo,police_station,Castilla-La Mancha,Toledo,Toledo,,,,toledo.desplazados_ucrania@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-avila,Comisaría Policía Nacional — Ávila,police_station,Castilla y León,Ávila,Ávila,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-burgos,Comisaría Policía Nacional — Burgos,police_station,Castilla y León,Burgos,Burgos,,,+34947282345,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-leon,Comisaría Policía Nacional — León,police_station,Castilla y León,León,León,,,+34987218907;+34987218908;+34987218965,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-palencia,Comisaría Policía Nacional — Palencia,police_station,Castilla y León,Palencia,Palencia,,,+34979167415;+34979167412,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-salamanca,Comisaría Policía Nacional — Salamanca,police_station,Castilla y León,Salamanca,Salamanca,,,+34923127709;+34923127779,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-segovia,Comisaría Policía Nacional — Segovia,police_station,Castilla y León,Segovia,Segovia,,,+34921414705,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-soria,Comisaría Policía Nacional — Soria,police_station,Castilla y León,Soria,Soria,,,+34975239332,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-valladolid,Comisaría Policía Nacional — Valladolid,police_station,Castilla y León,Valladolid,Valladolid,,,+34983456526,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-zamora,Comisaría Policía Nacional — Zamora,police_station,Castilla y León,Zamora,Zamora,,,+34980509266,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-girona,Comisaría Policía Nacional — Girona,police_station,Cataluña,Girona,Girona,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-lleida,Comisaría Policía Nacional — Lleida,police_station,Cataluña,Lleida,Lleida,,,+34973728500,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-reus,Comisaría Policía Nacional — Reus,police_station,Cataluña,Tarragona,Reus,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-tarragona,Comisaría Policía Nacional — Tarragona,police_station,Cataluña,Tarragona,Tarragona,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-tortosa,Comisaría Policía Nacional — Tortosa,police_station,Cataluña,Tarragona,Tortosa,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-ceuta,Comisaría Policía Nacional — Ceuta,police_station,Ceuta,Ceuta,Ceuta,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-castellon-de-la-plana,Comisaría Policía Nacional — Castellón de la Plana,police_station,Comunitat Valenciana,Castellón,Castellón de la Plana,,,,castellon.protecciontemporal@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-valencia,Comisaría Policía Nacional — Valencia,police_station,Comunitat Valenciana,Valencia,Valencia,,,,valencia.proteccioninternacional1@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-villarreal,Comisaría Policía Nacional — Villarreal,police_station,Comunitat Valenciana,Castellón,Villarreal,,,,castellon.protecciontemporal@policia.es,email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately. Shares email with Castellón in source.
comisaria-badajoz,Comisaría Policía Nacional — Badajoz,police_station,Extremadura,Badajoz,Badajoz,,,+34924205494,badajoz.bped@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-caceres,Comisaría Policía Nacional — Cáceres,police_station,Extremadura,Cáceres,Cáceres,,,+34927626525,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-ferrol,Comisaría Policía Nacional — Ferrol,police_station,Galicia,A Coruña,Ferrol,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-a-coruna,Comisaría Policía Nacional — A Coruña,police_station,Galicia,A Coruña,A Coruña,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-lugo,Comisaría Policía Nacional — Lugo,police_station,Galicia,Lugo,Lugo,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-ourense,Comisaría Policía Nacional — Ourense,police_station,Galicia,Ourense,Ourense,,,+34988391830,orense.bped@policia.es,phone_or_email,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-pontevedra,Comisaría Policía Nacional — Pontevedra,police_station,Galicia,Pontevedra,Pontevedra,,,+34986868327;+34986868847,,phone,,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
comisaria-santiago-de-compostela,Comisaría Policía Nacional — Santiago de Compostela,police_station,Galicia,A Coruña,Santiago de Compostela,,,,,icp_online,https://sede.administracionespublicas.gob.es/icpplus/index.html,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,https://www.interior.gob.es/opencms/export/sites/default/.galleries/ucrania/Comisarias_proteccion_temporal.xlsx,2022-03-30,2026-09-15,official_2022,Matches official Interior XLSX (file last modified 2022-03-30). Official list has no street address; confirm address separately.
